Parent,Child
Ho06-0523,AFRI15-0001
Ho08-9030,AFRI15-0001
Ho08-9045,AFRI15-0002
Ho08-9022,AFRI15-0002
Ho08-9033,AFRI15-0003
Ho08-9049,AFRI15-0003
Ho08-9046,AFRI15-0004
Ho08-9027,AFRI15-0004
Ho08-9046,AFRI15-0005
Ho08-9050,AFRI15-0005
Ho08-9022,AFRI15-0006
Ho05-0961,AFRI15-0006
Ho08-9001,AFRI15-0007
Ho07-0602,AFRI15-0007
Ho08-9001,AFRI15-0008
Ho07-0602,AFRI15-0008
Ho08-9039,AFRI15-0009
L99-0226,AFRI15-0009
Ho08-9001,AFRI15-0010
L99-0226,AFRI15-0010
Ho08-9001,AFRI15-0011
L99-0226,AFRI15-0011
Ho08-9005,AFRI15-0012
Ho08-9044,AFRI15-0012
Ho08-9039,AFRI15-0013
Ho08-9033,AFRI15-0013
Ho08-9039,AFRI15-0014
Ho08-9033,AFRI15-0014
Ho08-9021,AFRI15-0015
L01-0283,AFRI15-0015
Ho08-9050,AFRI15-0016
HoL08-0721,AFRI15-0016
Ho08-9050,AFRI15-0017
HoL08-0721,AFRI15-0017
Ho08-9050,AFRI15-0018
HoL08-0721,AFRI15-0018
Ho08-9001,AFRI15-0019
L99-0226,AFRI15-0019
Ho08-9001,AFRI15-0020
L99-0226,AFRI15-0020
Ho08-9001,AFRI15-0021
HoL08-0721,AFRI15-0021
Ho08-9001,AFRI15-0022
HoL08-0721,AFRI15-0022
Ho08-9013,AFRI15-0023
L01-0283,AFRI15-0023
HoCP05-0918,AFRI15-0024
MPTH99-0461,AFRI15-0024
HoCP05-0918,AFRI15-0025
MPTH99-0461,AFRI15-0025
Ho08-9022,AFRI15-0026
HoCP04-0852,AFRI15-0026
Ba11569,B0391
unknown,B0391
B0208,B16356
unknown,B16356
Ba11569,B2935
Ba06032,B2935
Ba11569,B3013
unknown,B3013
POJ2364,B(30)L7
B0391,B(30)L7
B(30)L7,B3337
B(30)L7,B3337
B(30)L7,B3353
B(30)L7,B3353
Co281,B34104
BH(10)12,B34104
D74,B3412
unknown,B3412
Ba11569,B3439
MB,B3439
Toledo,B35247
S-C12-4,B35247
Uba,B35271
BH(10)12,B35271
Ba11569,B37256
Saccharum spontaneum,B37256
B35271,B39254
B2935,B39254
B3439,B40098
Co290,B40098
B3013,B40123
B35251,B40123
B39254,B45151
B34104,B45151
B39254,B45154
POJ2878,B45154
B37256,B45181
B3353,B45181
B35247,B46364
B3337,B46364
B39254,B47258
B34104,B47258
B3439,B4906
B40123,B4906
B35-218,B49119
B40098,B49119
B45154,B59162
B46364,B59162
B3439,B62163
B45151,B62163
B1379,B6835
unknown,B6835
Badila,B70734
SES-84-58,B70734
Crystalina,B71941
SES-21,B71941
BTN166A,B74725
SES-567,B74725
BTN529A,B76719
SES-602,B76719
MB84-3065,B97-0067
NG77-0193,B97-0067
T24,Ba06032
unknown,Ba06032
B16356,Ba11569
unknown,Ba11569
Ho08-9504,BC3-2017
HoCP04-0852,BC3-2017
B6835,BH(10)12
B4578,BH(10)12
B4906,BJ7504
BPoly1973-0074,BJ7504
POJ2725,Bourne35-9
CP27-0035,Bourne35-9
YellowCaledonia,C26
H109,C26
Badila,C278
NG28-0251,C278
POJ2878,CB41-0076
unknown,CB41-0076
Co290,CB45-0003
Co331,CB45-0003
EPC54839,CC82-0015
EPC72174,CC82-0015
NA56-0079,CC84-0079
CCPoly1982-0083,CC84-0079
Co775,CC85-0092
CCPoly1983-0084,CC85-0092
CL90-4725,CL01-8014
CL88-4730,CL01-8014
CL90-4725,CL01-9121
CL88-4730,CL01-9121
CP96-1252,CL02-8023
CL89-5457,CL02-8023
CL93-5686,CL02-8040
POLY00-4,CL02-8040
CL90-4725,CL02-8050
CL91-4069,CL02-8050
CL90-4725,CL02-8052
CL91-4069,CL02-8052
CL90-4725,CL02-8053
CL91-4069,CL02-8053
CL92-5431,CL02-8071
LCP85-0384,CL02-8071
CL92-5431,CL02-8072
LCP85-0384,CL02-8072
CL93-5215,CL02-8096
CP88-1762,CL02-8096
CL85-3715,CL02-8130
CL88-4730,CL02-8130
CL85-3715,CL02-8138
CL92-4193,CL02-8138
CL92-5431,CL02-8148
LCP85-0384,CL02-8148
CL89-4290,CL02-8149
CL89-5189,CL02-8149
CL93-5215,CL02-8151
CP88-1762,CL02-8151
CP29-0103,CL41-0114
Co301,CL41-0114
CP27-0108,CL41-0142
Bourne35-9,CL41-0142
F31-0436,CL41-0223
F31-0452,CL41-0223
CL41-0223,CL47-0083
unknown,CL47-0083
CL41-0114,CL47-0143
CL41-0142,CL47-0143
CL41-0142,CL49-0032
FX1,CL49-0032
CL47-0143,CL54-0119
CP30-0024,CL54-0119
CL49-0032,CL54-0134
CP38-0034,CL54-0134
CL41-0142,CL54-0140
F31-0436,CL54-0140
CL47-0143,CL54-1910
CL47-0083,CL54-1910
CL47-0143,CL57-0039
unknown,CL57-0039
CL54-0140,CL58-0065
CL54-0119,CL58-0065
CP52-0068,CL61-0005
CL54-1910,CL61-0005
CP48-0120,CL61-0620
CL54-1910,CL61-0620
CL58-0065,CL64-0122
CP33-0372,CL64-0122
CP52-0068,CL65-0279
CL54-1910,CL65-0279
CL57-0039,CL66-0141
CP36-0211,CL66-0141
F36-0819,CL68-1336
CL47-0083,CL68-1336
CL64-0122,CL69-0886
CP54-0378,CL69-0886
CL68-1336,CL75-0853
CP54-0378,CL75-0853
CP52-0068,CL78-1600
CL54-1910,CL78-1600
CL66-0141,CL79-2243
CL69-0886,CL79-2243
CL79-2243,CL89-5457
Mix88-L,CL89-5457
CL75-0853,CL92-2533
CL78-1600,CL92-2533
P4383,Co1148
Co301,Co1148
Vellai,Co205
unknown Indian S. spontaneum,Co205
AshyMauritius,Co206
unknown Indian S. spontaneum,Co206
POJ0213,Co213
Kansar,Co213
StripedMauritius,Co214
M4600,Co214
POJ0213,Co221
M2,Co221
POJ0213,Co244
Co205,Co244
POJ0213,Co281
Co206,Co281
GreenSport,Co285
unknown Indian S. spontaneum,Co285
Co221,Co290
D74,Co290
Co213,Co299
POJ1410,Co299
Co213,Co301
POJ1499,Co301
Co213,Co312
Co244,Co312
Co213,Co331
Co214,Co331
POJ2725,Co360
unknown,Co360
POJ2725,Co361
B3412,Co361
Co213,Co371
Co214,Co371
POJ2878,Co419
Co312,Co419
POJ2878,Co421
Co285,Co421
Co360,Co440
unknown,Co440
POJ2878,Co449
Co331,Co449
Co361,Co464
Co285,Co464
P3247,Co603
Co419,Co603
Co775,Co6806
Co798,Co6806
POJ2878,Co683
B3412,Co683
P3248,Co740
P4775,Co740
POJ2878,Co775
Co371,Co775
Co603,Co798
Co449,Co798
Co683,Co997
P63-0032,Co997
POJ2222,CP0001
F23,CP0001
CP90-1424,CP00-1001
CP80-1743,CP00-1001
CP90-1424,CP00-1003
CP80-1743,CP00-1003
TCP92-4193,CP00-1004
CP85-1491,CP00-1004
TCP92-4193,CP00-1005
CP85-1491,CP00-1005
TCP92-4193,CP00-1006
CP85-1491,CP00-1006
TCP92-4193,CP00-1007
CP85-1491,CP00-1007
TCP92-4193,CP00-1008
CP85-1491,CP00-1008
CP95-2318,CP00-1009
CP81-1384,CP00-1009
CP95-2318,CP00-1010
CP81-1384,CP00-1010
CP95-2318,CP00-1011
CP81-1384,CP00-1011
CP95-2318,CP00-1012
CP81-1384,CP00-1012
CP95-2318,CP00-1013
CP81-1384,CP00-1013
CP95-2318,CP00-1014
CP81-1384,CP00-1014
CP95-2318,CP00-1015
CP81-1384,CP00-1015
HoCP94-0836,CP00-1016
CP92-1167,CP00-1016
HoCP94-0836,CP00-1017
CP92-1167,CP00-1017
HoCP94-0836,CP00-1018
CP92-1167,CP00-1018
CP85-1491,CP00-1019
CP72-2086,CP00-1019
CP85-1491,CP00-1020
CP72-2086,CP00-1020
CP85-1491,CP00-1021
CP72-2086,CP00-1021
CP90-1436,CP00-1022
CP88-1762,CP00-1022
CP90-1436,CP00-1023
CP88-1762,CP00-1023
CP90-1436,CP00-1024
CP88-1762,CP00-1024
CP90-1436,CP00-1025
CP88-1762,CP00-1025
CP85-1382,CP00-1026
CP85-1491,CP00-1026
HoCP94-0817,CP00-1031
98P02,CP00-1031
CP90-1436,CP00-1032
CP94-1570,CP00-1032
CP90-1436,CP00-1033
CP94-1570,CP00-1033
CP90-1436,CP00-1034
CP94-1570,CP00-1034
CP90-1436,CP00-1035
CP94-1570,CP00-1035
CP92-1607,CP00-1036
CP80-1827,CP00-1036
CP92-1607,CP00-1037
CP80-1827,CP00-1037
CP84-1322,CP00-1038
CP92-1167,CP00-1038
CP84-1322,CP00-1039
CP92-1167,CP00-1039
CP84-1322,CP00-1040
CP92-1167,CP00-1040
CP84-1322,CP00-1041
CP92-1167,CP00-1041
US96-0002,CP00-1042
CP84-1062,CP00-1042
CP84-1198,CP00-1043
98P05,CP00-1043
CP94-1528,CP00-1044
CP80-1743,CP00-1044
CP81-1254,CP00-1045
CP81-1384,CP00-1045
CP89-1632,CP00-1046
CP93-1634,CP00-1046
CP89-1632,CP00-1047
CP93-1634,CP00-1047
CP93-1065,CP00-1048
CP84-1322,CP00-1048
CP92-1607,CP00-1049
CP84-1198,CP00-1049
CP92-1607,CP00-1050
CP84-1198,CP00-1050
CP92-1607,CP00-1051
CP84-1198,CP00-1051
CP94-1528,CP00-1052
CP80-1743,CP00-1052
CP94-1528,CP00-1053
CP80-1743,CP00-1053
CP94-1528,CP00-1054
CP80-1743,CP00-1054
CP93-1634,CP00-1055
CP94-2059,CP00-1055
