"LineName"	"MaleParent"	"FemaleParent"
AFRI15-0001	Ho06-0523	Ho08-9030
AFRI15-0002	Ho08-9045	Ho08-9022
AFRI15-0003	Ho08-9033	Ho08-9049
AFRI15-0004	Ho08-9046	Ho08-9027
AFRI15-0005	Ho08-9046	Ho08-9050
AFRI15-0006	Ho08-9022	Ho05-0961
AFRI15-0007	Ho08-9001	Ho07-0602
AFRI15-0008	Ho08-9001	Ho07-0602
AFRI15-0009	Ho08-9039	L99-0226
AFRI15-0010	Ho08-9001	L99-0226
AFRI15-0011	Ho08-9001	L99-0226
AFRI15-0012	Ho08-9005	Ho08-9044
AFRI15-0013	Ho08-9039	Ho08-9033
AFRI15-0014	Ho08-9039	Ho08-9033
AFRI15-0015	Ho08-9021	L01-0283
AFRI15-0016	Ho08-9050	HoL08-0721
AFRI15-0017	Ho08-9050	HoL08-0721
AFRI15-0018	Ho08-9050	HoL08-0721
AFRI15-0019	Ho08-9001	L99-0226
AFRI15-0020	Ho08-9001	L99-0226
AFRI15-0021	Ho08-9001	HoL08-0721
AFRI15-0022	Ho08-9001	HoL08-0721
AFRI15-0023	Ho08-9013	L01-0283
AFRI15-0024	HoCP05-0918	MPTH99-0461
AFRI15-0025	HoCP05-0918	MPTH99-0461
AFRI15-0026	Ho08-9022	HoCP04-0852
AKOKI22		
AshyMauritius		
AzuldeCasa		
B0208		
B0391	Ba11569	unknown
B1379		
B16356	B0208	unknown
B2935	Ba11569	Ba06032
B3013	Ba11569	unknown
B(30)L7	POJ2364	B0391
B3337	B(30)L7	B(30)L7
B3353	B(30)L7	B(30)L7
B34104	Co281	BH(10)12
B3412	D74	unknown
B3439	Ba11569	MB
B35-0009		
B35-218		
B35247	Toledo	S-C12-4
B35251		
B35271	Uba	BH(10)12
B37256	Ba11569	Saccharum spontaneum
B39254	B35271	B2935
B40098	B3439	Co290
B40123	B3013	B35251
B4362		
B45151	B39254	B34104
B45154	B39254	POJ2878
B45181	B37256	B3353
B4578		
B46364	B35247	B3337
B47258	B39254	B34104
B4906	B3439	B40123
B49119	B35-218	B40098
B59162	B45154	B46364
B62163	B3439	B45151
B6308		
B6835	B1379	unknown
B70734	Badila	SES-84-58
B71941	Crystalina	SES-21
B74725	BTN166A	SES-567
B76719	BTN529A	SES-602
B97-0067	MB84-3065	NG77-0193
Ba06032	T24	unknown
Ba11569	B16356	unknown
BA11569		
Badila		
Bamboo		
BambooRose		
BanjermasinHitam		
Batjan		
BC3-2017	Ho08-9504	HoCP04-0852
BendasSel		
BH(10)12	B6835	B4578
Biscuit		
BJ7504	B4906	BPoly1973-0074
BlackCheribon		
Bourne35-9	POJ2725	CP27-0035
BPoly1973-0074		
BR97-1004		
BR97-2001		
BTN166A		
BTN529A		
C26	YellowCaledonia	H109
C278	Badila	NG28-0251
CB41-0076	POJ2878	unknown
CB45-0003	Co290	Co331
CC82-0015	EPC54839	EPC72174
CC84-0075		
CC84-0079	NA56-0079	CCPoly1982-0083
CC85-0092	Co775	CCPoly1983-0084
CC93-0418		
CCPoly1982-0083		
CCPoly1983-0084		
CG00-0033		
CG00-0102		
CG01-0027		
CG01-0053		
CG01-0087		
CG03-0292		
CG04-9324		
CG04-9543		
CG04-9568		
CG04-9615		
CG04-9694		
CG05-1024		
CG05-1292		
CG05-77440		
CG05-7862		
CG08-1297		
CG09-1164		
CG96-0001		
CG98-0046		
CG98-0062		
CG99-0087		
Chapina		
Chewing4a		
Chewing4b		
Chunnee		
CL01-8014	CL90-4725	CL88-4730
CL01-9032		
CL01-9108		
CL01-9121	CL90-4725	CL88-4730
CL02-8001		
CL02-8017		
CL02-8021		
CL02-8023	CP96-1252	CL89-5457
CL02-8040	CL93-5686	POLY00-4
CL02-8050	CL90-4725	CL91-4069
CL02-8052	CL90-4725	CL91-4069
CL02-8053	CL90-4725	CL91-4069
CL02-8069		
CL02-8071	CL92-5431	LCP85-0384
CL02-8072	CL92-5431	LCP85-0384
CL02-8091		
CL02-8095		
CL02-8096	CL93-5215	CP88-1762
CL02-8106		
CL02-8130	CL85-3715	CL88-4730
CL02-8132		
CL02-8137		
CL02-8138	CL85-3715	CL92-4193
CL02-8148	CL92-5431	LCP85-0384
CL02-8149	CL89-4290	CL89-5189
CL02-8151	CL93-5215	CP88-1762
CL41-0070		
CL41-0106		
CL41-0114	CP29-0103	Co301
CL41-0142	CP27-0108	Bourne35-9
CL41-0223	F31-0436	F31-0452
CL42-0072		
CL47-0083	CL41-0223	unknown
CL47-0143	CL41-0114	CL41-0142
CL49-0032	CL41-0142	FX1
CL49-0054		
CL54-0119	CL47-0143	CP30-0024
CL54-0134	CL49-0032	CP38-0034
CL54-0140	CL41-0142	F31-0436
CL54-1910	CL47-0143	CL47-0083
CL57-0039	CL47-0143	unknown
CL58-0065	CL54-0140	CL54-0119
CL61-0005	CP52-0068	CL54-1910
CL61-0620	CP48-0120	CL54-1910
CL64-0122	CL58-0065	CP33-0372
CL65-0262		
CL65-0279	CP52-0068	CL54-1910
CL65-0294		
CL66-0141	CL57-0039	CP36-0211
CL68-0386		
CL68-0453		
CL68-0575 [SGR-117]		
CL68-1336	F36-0819	CL47-0083
CL69-0886	CL64-0122	CP54-0378
CL72-0321		
CL73-0239		
CL75-0853	CL68-1336	CP54-0378
CL76-0332		
CL77-0727		
CL77-0797		
CL77-1417		
CL78-1252		
CL78-1552		
CL78-1600	CP52-0068	CL54-1910
CL79-1599		
CL79-2031		
CL79-2243	CL66-0141	CL69-0886
CL79-2765		
CL80-1332		
CL80-1575		
CL80-1771		
CL80-2831		
CL80-2873		
CL81-1338		
CL81-1453		
CL81-1984		
CL81-2796		
CL81-3436		
CL81-3479		
CL82-0987		
CL82-1402		
CL82-1424		
CL82-2119		
CL82-2210		
CL82-2278		
CL82-3158		
CL82-3280		
CL82-3462		
CL82-3657		
CL82-3726		
CL83-1090		
CL83-1101		
CL83-1112		
CL83-1163		
CL83-1164		
CL83-1170		
CL83-1364		
CL83-1505		
CL83-1900		
CL83-2017		
CL83-2031		
CL83-2116		
CL83-2361		
CL83-2425		
CL83-3371		
CL83-3431		
CL83-3576		
CL83-3586		
CL83-3595		
CL83-3682		
CL83-3789		
CL83-3985		
CL83-4095		
CL83-4266		
CL83-4555		
CL84-1989		
CL84-2273		
CL84-2394		
CL84-3013		
CL84-3152		
CL84-3169		
CL84-3323		
CL84-3428		
CL84-3678		
CL84-3714		
CL84-3735		
CL84-3878		
CL84-3927		
CL84-3929		
CL84-4009		
CL84-4011		
CL84-4081		
CL84-4143		
CL84-4234		
CL84-4235		
CL84-4302		
CL84-5215		
CL84-5407		
CL85-0853		
CL85-0895		
CL85-1057		
CL85-1101		
CL85-1111		
CL85-1290		
CL85-1325		
CL85-1865		
CL85-1900		
CL85-2154		
CL85-2493		
CL85-2660		
CL85-3041		
CL85-3488		
CL85-3503		
CL85-3715		
CL85-4362		
CL85-4375		
CL85-4636		
CL85-4645		
CL86-0265		
CL86-1479		
CL86-2520		
CL86-2542		
CL86-2550		
CL86-3279		
CL86-4047		
CL86-4087		
CL86-4124		
CL86-4139		
CL86-4340		
CL86-4477		
CL86-4519		
CL86-4531		
CL86-4590		
CL86-4731		
CL86-4829		
CL86-5687		
CL87-0087		
CL87-0640		
CL87-1630		
CL87-2282		
CL87-2607		
CL87-2647		
CL87-2663		
CL87-2882		
CL87-2944		
CL87-4022		
CL87-4325		
CL87-4708		
CL87-4795		
CL87-4842		
CL87-5267		
CL87-5367		
CL87-5424		
CL87-5430		
CL87-5443		
CL88-1264		
CL88-1685		
CL88-1762		
CL88-1773		
CL88-1786		
CL88-1850		
CL88-2079		
CL88-2747		
CL88-2819		
CL88-2871		
CL88-430		
CL88-4409		
CL88-4503		
CL88-4723		
CL88-4730		
CL88-4854		
CL88-4866		
CL88-4890		
CL88-4980		
CL88-5022		
CL88-5026		
CL88-5189		
CL88-5257		
CL88-5356		
CL88-5421		
CL89-0006		
CL89-0616		
CL89-0846		
CL89-0864		
CL89-2377		
CL89-2944		
CL89-4100		
CL89-4290		
CL89-4294		
CL89-4303		
CL89-4305		
CL89-4515		
CL89-4939		
CL89-5070		
CL89-5189		
CL89-5457	CL79-2243	Mix88-L
CL90-0293		
CL90-0596		
CL90-0749		
CL90-1211		
CL90-1305		
CL90-1353		
CL90-1374		
CL90-1479		
CL90-1595		
CL90-1683		
CL90-4009		
CL90-4101		
CL90-4161		
CL90-4234		
CL90-4355		
CL90-4461		
CL90-4500		
CL90-4533		
CL90-4643		
CL90-4725		
CL90-4972		
CL90-5017		
CL90-5032		
CL90-5202		
CL90-5364		
CL91-0287		
CL91-0857		
CL91-1637		
CL91-1714		
CL91-1754		
CL91-1918		
CL91-2269		
CL91-2746		
CL91-2907		
CL91-4009		
CL91-4069		
CL91-4101		
CL91-4157		
CL91-4377		
CL91-4814		
CL91-5057		
CL92-0046		
CL92-0775		
CL92-1249		
CL92-1367		
CL92-1389		
CL92-1528		
CL92-1570		
CL92-1666		
CL92-1787		
CL92-2526		
CL92-2533	CL75-0853	CL78-1600
CL92-3120		
CL92-4058		
CL92-4193		
CL92-4531		
CL92-4589		
CL92-5254		
CL92-5255		
CL92-5431		
CL93-0713		
CL93-0980		
CL93-1121		
CL93-1367		
CL93-1472		
CL93-1858		
CL93-2578		
CL93-2581		
CL93-2679		
CL93-4076		
CL93-4475		
CL93-4672		
CL93-4688		
CL93-4733		
CL93-4977		
CL93-5104		
CL93-5140		
CL93-5185		
CL93-5194		
CL93-5215		
CL93-5562		
CL93-5686		
CL94-0096		
CL94-0150		
CL94-0387		
CL94-0545		
CL94-0549		
CL94-2292		
CL94-2633		
CL94-3201		
CL94-4150		
CL94-4155		
CL94-4213		
CL94-4486		
CL94-4531		
CL94-4690		
CL94-4815		
CL94-4871		
CL94-5018		
CL94-5051		
CL94-5215		
CL95-0242		
CL95-0248		
CL95-0662		
CL95-0776		
CL95-1758		
CL95-1795		
CL95-1855		
CL95-1907		
CL95-2108		
CL95-2287		
CL95-2367		
CL95-2406		
CL95-2460		
CL95-4323		
CL95-4511		
CL95-5177		
CL95-5255		
CL96-0726		
CL96-1165		
CL96-1199		
CL96-1250		
CL96-2375		
CL96-4246		
CL96-4264		
CL96-4271		
CL96-4272		
CL96-4485		
CL96-4527		
CL96-4974		
CL96-5337		
CL97-1813		
CL97-1864		
CL97-4983		
CL98-1031		
CL98-1205		
CL98-4392		
CL99-1368		
CL99-1777		
CL99-2103		
CL99-2651		
CL99-4067		
