betweenness_centrality,vertex
0.0,CP07-2572
0.0,CP01-2617
0.0,CP97-1173
0.0,CP95-1786
0.0,CP04-1481
0.0,CP95-1984
0.0,CP00-1161
0.0,CP01-2669
0.0,CP14-4600
0.0,CP17-2065
0.0,CP13-1435
0.0,CP99-1636
0.0,CP15-1247
0.0,CP11-1194
0.0,CP17-4056
0.0,CP03-2174
0.0,CP95-1394
0.0,CP95-1285
0.0,CP92-1084
0.0,CP17-4205
0.0,CP95-1028
0.0,CPCL01-7231
0.0,CP10-1457
0.0,CPCL06-3302
0.0,CP12-1033
0.0,CP90-1557
0.0,CP09-1817
0.0,CP14-2394
0.0,CP16-1872
0.0,CP07-1658
0.0,CP18-1071
0.0,CP01-2458
0.0,CP96-1296
0.0,CP10-2432
0.0,CP19-2139
0.0,CP06-2286
0.0,CP17-4309
0.0,CP00-1025
0.0,CP95-1534
0.0,CP97-1446
0.0,CP17-1382
0.0,CP01-1249
0.0,CP15-2116
0.0,CP15-1496
0.0,CP12-1678
0.0,CP16-1625
0.0,HoCP18-0801
0.0,CP17-1915
0.0,TCP04-4682
0.0,CPCL02-8106
1.6884827758190113e-08,Ho00-0019
0.0,POLY06-27
6.148060833766067e-07,CP71-0424
3.2577041565673426e-05,POJ0213
0.0,CP85-829
1.325802685414601e-07,CP82-0537
7.301546922633406e-09,CPCL08-2274
0.0,POLY01-5
3.2287474027725693e-07,HoCP11-0576
0.0,POLY09-22
0.0,00P07
0.0,POLY08-15
1.1339456307268847e-07,HoCP89-0879
3.541250350735936e-07,CP03-1249
0.0,CP01-1669
0.0,CP02-1682
0.0,CP14-1854
0.0,CP09-1771
0.0,CP14-1377
0.0,CP09-1304
0.0,CP97-1320
0.0,CP01-2236
0.0,CP99-1387
0.0,CP03-1950
0.0,CP91-1306
0.0,CP13-1727
0.0,CP03-1829
0.0,HoCP20-0509
0.0,CP96-1670
0.0,CP99-1738
0.0,CP97-1299
0.0,CP17-4430
0.0,CP96-1697
0.0,CP91-1245
0.0,CP11-2242
0.0,CP17-4762
0.0,Ho15-0985
0.0,CP07-2485
0.0,Ho99-0020
0.0,CP14-1823
0.0,CP19-4321
0.0,CP19-4209
0.0,CP98-1355
0.0,CP18-2305
0.0,CP17-4775
0.0,CP01-1619
0.0,CP16-4108
0.0,CP18-4010
0.0,CP10-1841
0.0,CP00-1199
0.0,CP95-1942
0.0,CPCL02-1596
0.0,CP11-1748
0.0,CPCL06-3274
0.0,CP14-4403
0.0,CP09-1238
0.0,CP92-1144
0.0,CP17-2228
0.0,CP00-1193
0.0,CP15-2246
0.0,CP06-2339
0.0,HoCP22-753
0.0,13P10
1.0135460115634487e-07,L09-0121
0.0,US98-1013
0.0,SES278
3.154694923068746e-07,US96-0006
0.0,US06-9601
6.381574024771908e-08,Ho11-0506
1.9938959212595364e-06,CP71-1194
0.0,99P03
6.721606382598111e-08,CP79-0311
4.223271332648437e-08,Ho04-9076
0.0,86P1
0.0,HindsSpecial
2.738079984965225e-09,CP99-1534
2.0687716428824388e-08,B39254
0.0,POLY02-4
0.0,CP12-2266
0.0,CP18-1875
0.0,CP12-1834
0.0,CP12-1651
0.0,CP19-1287
0.0,CP01-1982
0.0,CP14-1256
0.0,CP99-1544
0.0,CP03-1944
0.0,CP99-1118
0.0,CP16-4724
0.0,CP19-1586
0.0,L04-0416
0.0,CP01-2162
0.0,CP16-1113
0.0,CP95-2045
0.0,HoCP22-754
0.0,CP03-1152
0.0,CP00-1286
0.0,CP17-1426
0.0,CP06-3064
0.0,CP19-1653
0.0,CP07-2392
0.0,CPCL02-0481
0.0,CP12-1520
0.0,L68-0080
0.0,CP16-2352
0.0,CP01-1066
0.0,CP16-1276
0.0,CP09-1879
0.0,CP19-1361
0.0,HoCP20-0574
0.0,CP04-1455
0.0,CP00-1130
0.0,HoCP97-0612
0.0,CP97-1719
0.0,CPCL02-0706
0.0,CP09-1964
0.0,CP91-0539
0.0,CP12-1470
0.0,CP15-4165
0.0,CP12-2189
0.0,CP04-1477
0.0,CP01-2204
0.0,CP12-1167
0.0,CP98-1984
0.0,CP94-2008
0.0,CP06-2065
0.0,CP10-2490
0.0,CP13-1996
0.0,L74-0027
0.0,CP17-1952
0.0,CP99-1493
0.0,CP14-1608
0.0,CP89-0832
0.0,HoCP13-0738
0.0,CP16-1699
0.0,CP17-4806
0.0,CP15-2366
0.0,CP98-2016
0.0,CP18-1807
0.0,CP10-2251
0.0,CP10-2307
0.0,CP03-2330
5.6687834870672305e-08,L99-0229
0.0,IJ76-178
6.84520031768443e-08,CPCL02-0908
3.878946941426875e-08,Ho94-0082
0.0,02P21
1.4588900398848637e-07,Ho01-0026
3.6933659686155806e-08,CP87-0667
0.0,US90-1017
0.0,US16-2004
1.167623281617125e-06,L93-0386
0.0,88P2
0.0,IND82-257A
0.0,US56-15-2
3.833311978951315e-08,CP10-2195
6.453882406276534e-08,HoCP13-0737
0.0,SES196
0.0,HoCP13-0736
0.0,Ho05-9059
0.0,CP07-2291
0.0,CP07-1147
0.0,CP87-0610
0.0,CP09-1909
0.0,CP09-1868
0.0,CP95-2020
0.0,CP14-4558
0.0,CP91-1480
0.0,CP94-1790
0.0,CP95-1647
0.0,CP13-2010
0.0,LCP84-0217
0.0,CP03-2341
0.0,CP11-1228
0.0,CP11-2318
0.0,CP18-1702
0.0,CP19-4749
0.0,CP14-2527
0.0,CP10-2350
0.0,CP16-1570
0.0,CP02-1984
0.0,CP12-2140
0.0,CP93-1611
0.0,Ho99-0023
0.0,CP06-2099
0.0,CP15-1171
0.0,CP15-2156
0.0,CP13-1585
0.0,CP15-1587
0.0,CPCL06-3298
0.0,CP14-1686
0.0,HoCP98-0742
0.0,CP17-2058
0.0,CP19-1601
0.0,CP19-4842
0.0,HoCP20-0541
0.0,CP14-1392
0.0,CP09-1830
0.0,CP04-1443
0.0,CP11-1913
0.0,CP18-4157
0.0,CPCL02-1119
0.0,CP72-0321
0.0,CP95-1665
0.0,CP18-4209
0.0,CPCL02-1036
0.0,CP18-2371
0.0,CP19-1632
0.0,CP94-1479
0.0,CP01-2066
0.0,CP17-1369
0.0,CP10-1018
0.0,CP00-1303
0.0,CP19-1824
0.0,CP14-1814
0.0,L01-0288
0.0,CP04-1776
0.0,CP16-2407
0.0,CP13-2277
0.0,CP00-2237
0.0,CP02-1126
0.0,CP14-1674
0.0,CP13-1470
0.0,CP11-1456
0.0,CP98-1115
0.0,CP17-2073
0.0,CP13-1219
0.0,CP12-1159
0.0,CP14-1288
0.0,CP09-2333
0.0,CP92-1793
0.0,CP18-4625
0.0,CP14-1900
0.0,CP90-1349
0.0,CP04-1054
0.0,CP18-1596
0.0,CP01-1749
0.0,Ho02-0090
0.0,CP15-2408
0.0,CP11-1540
0.0,CP11-2364
0.0,CP03-2156
0.0,CP76-0312
0.0,CP15-1904
0.0,CP97-1857
0.0,CP97-1845
0.0,CP01-2402
0.0,CP93-1291
0.0,CP01-1246
0.0,CP92-1488
0.0,CP99-1410
0.0,CP01-2003
0.0,CP02-1182
0.0,CP97-1463
0.0,CL93-2581
1.7113001149482443e-07,Ho02-0038
0.0,POLY07-11B
0.0,06P08
0.0,US63-6
0.0,Crystalina
0.0,US87-1017
3.217244071151981e-08,CP71-0443
0.0,CP94-2251
4.164163414088762e-08,HoCP92-0654
1.26381593190672e-07,HoCP01-0541
2.9100136089255102e-05,CP73-1311
0.0,11P22
0.0,TCP83-321
7.614143981982124e-08,US68-0026-0021
4.3932547555414203e-07,HoCP04-0843
0.0,CP02-1673
0.0,CP09-1489
0.0,V71-0051
0.0,CP17-4234
0.0,CP16-4407
0.0,CP16-2437
0.0,CP97-2045
0.0,CP16-1489
0.0,CP06-2788
0.0,CP16-2069
0.0,CPCL02-1830
0.0,L91-0287
0.0,CP09-1841
0.0,CP04-1230
0.0,CP01-1169
0.0,L96-0036
0.0,CP99-1751
0.0,CP09-1674
0.0,CP10-1984
0.0,CP07-2216
0.0,CP00-2210
0.0,CP99-1694
0.0,CP03-2161
0.0,CP11-1019
0.0,CP07-1200
0.0,CP11-2445
0.0,CP99-1491
0.0,CP10-1843
0.0,CP97-1605
0.0,CP15-2390
0.0,CP91-1456
0.0,CP15-2332
0.0,CP15-1830
0.0,CP15-1631
0.0,CP97-1638
0.0,CP16-1515
0.0,L89-0105
0.0,CP13-1934
0.0,CP04-1346
0.0,CP19-1468
0.0,CP92-1217
0.0,CPCL06-3263
0.0,CP04-1557
