katz_centrality,vertex
0.004622053,CP02-2112
0.00462205,CP15-2144
0.00462205,US1639
0.004622053,CP92-1375
0.00462205,CP98-1052
0.0046220473,CPCL14-4056
0.004622053,US66-116-1
0.004622053,CP14-1684
0.004622053,CP14-2027
0.004622053,CP95-1533
0.0046220473,CP07-2043
0.00462205,CP02-1930
0.004622053,CP02-1104
0.00462205,CP02-1364
0.004622053,CP15-1341
0.004622053,CP78-0334
0.0046220487,CP10-2279
0.004622053,CP18-2369
0.0046220473,CP92-1224
0.004622053,Ho12-0630
0.00462205,CP15-2258
0.004622053,CP03-1700
0.004622053,HoCP96-0544
0.00462205,CPCL06-3154
0.00462205,CPCL06-3355
0.00462205,CP98-1427
0.004622053,HoCP11-0548
0.004622053,CP14-2000
0.004622053,CP02-1689
0.00462205,CP99-1253
0.0046220515,CP17-2330
0.0046220487,CP10-1725
0.004622053,L75-0024
0.004622053,CP12-1761
0.00462205,CP08-1524
0.004622053,CP14-4208
0.004622053,HoCP19-0958
0.0046220473,CPCL14-4131
0.00462205,CP16-4147
0.0046220473,CP01-1457
0.00462205,CP11-2520
0.004622053,CP80-0342
0.00462205,CP16-2006
0.0046220473,CP92-1032
0.00462205,CP15-4247
0.00462205,CP10-1726
0.0046220473,CP11-1610
0.004622053,CP17-4706
0.004622053,Ho20-9041
0.004622053,CP16-1218
0.00462205,CP13-1512
0.004622053,CP14-4378
0.004622053,CP13-2210
0.004622053,CP19-1644
0.00462205,CP11-1427
0.0046220473,CP94-1347
0.004622053,CP02-1338
0.004622053,CP02-2093
0.00462205,CP16-1121
0.004622053,CP00-1190
0.00462205,CP96-1443
0.00462205,CP04-1643
0.004622053,CP00-1730
0.004622053,Ho20-9006
0.0046220473,CP92-1143
0.00462205,CP11-1005
0.004622053,CP14-1862
0.00462205,CP98-1994
0.0046220473,CP12-2322
0.004622053,CP90-1427
0.00462205,CP10-1820
0.004622053,CP02-1648
0.004622053,CP04-1240
0.004622053,CP87-0661
0.00462205,CP01-1274
0.004622053,HoCP95-0926
0.0046220473,CP94-1492
0.00462205,CP17-1131
0.004622053,CP03-1462
0.004622053,CP16-2225
0.004622053,CP06-2340
0.00462205,CP99-1115
0.00462205,CP16-4664
0.00462205,CP96-1655
0.00462205,CP92-1444
0.004622053,HoCP02-0605
0.00462205,CP06-2905
0.004622053,CP92-1595
0.00462205,CP97-1401
0.00462205,CP14-4440
0.004622053,CP01-2294
0.00462205,CP16-1148
0.0046220473,CP19-4218
0.004622053,CP19-4596
0.00462205,CP19-2156
0.0046220473,CP15-4199
0.00462205,Ho82-0044
0.00462205,CP96-1508
0.00462205,CP93-1091
0.004622053,CP19-2429
0.00462205,CP10-2356
0.0046220473,CP97-1331
0.004622053,CP02-2344
0.004622053,CP01-1926
0.0046220473,Ho04-9025
