,partition,vertex
0,27,CP95-1987
1,4,CP06-2707
2,6,CP13-1137
3,3,CP69-0391
4,6,CP10-1246
5,25,CP17-1729
6,26,CP07-1183
7,17,CP91-1034
8,3,LCP85-0322
9,9,CP12-1176
10,18,CP16-1728
11,16,CP14-1766
12,4,CP03-2367
13,7,CP14-1476
14,16,CP14-1067
15,5,CP01-1030
16,15,CP92-1084
17,18,CP17-4205
18,5,CP95-1028
19,7,CPCL01-7231
20,20,CP10-1457
21,24,CPCL06-3302
22,13,CP12-1033
23,17,CP90-1557
24,7,CP09-1817
25,20,CP14-2394
26,18,CP16-1872
27,2,CP07-1658
28,10,CP18-1071
29,5,CP01-2458
30,4,CP06-2705
31,9,CP09-2128
32,5,CP95-1376
33,17,CP92-1511
34,19,CP16-4630
35,15,CP92-1169
36,27,CP97-1685
37,26,CP01-1949
38,3,L06-0007
39,28,CP14-4308
40,9,CP07-1791
41,9,CP10-1750
42,16,CP10-2458
43,2,CP04-1683
44,7,CP13-1800
45,29,CP19-1779
46,21,CP00-1035
47,13,CP11-2274
48,7,CP17-1486
49,2,CP03-1827
50,1,CP98-1927
51,4,CP04-1964
52,2,CP99-1844
53,3,L89-0145
54,6,CP11-1760
55,6,CP10-1573
56,5,CP90-1430
57,17,CP92-1769
58,28,CP16-1229
59,13,CPCL05-1105
60,3,CP90-0900
61,0,Ho01-0002
62,18,CP16-2320
63,27,CP96-1558
64,4,CP04-1484
65,17,CP91-2273
66,12,CP09-1389
67,6,CP11-1196
68,26,CP98-1146
69,23,CP12-2241
70,12,CP09-1551
71,5,CP96-1444
72,10,CP15-4042
73,0,Ho14-9242
74,8,CP18-4598
75,5,CP96-1340
76,18,CP15-2209
77,2,CP03-1177
78,16,CP14-1078
79,4,CP04-1358
80,5,CP93-1066
81,1,CP97-1284
82,1,CP98-1184
83,7,CP14-1851
84,18,CP16-1836
85,0,L19-0486
86,5,CP95-1043
87,5,CP95-1222
88,14,CP02-1452
89,23,CP09-1762
90,0,HoCP20-0547
91,0,HoCP98-0748
92,5,CP93-1130
93,3,LCP85-0326
94,5,CP95-1053
95,2,CPCL06-3505
96,6,CP05-1740
97,5,CP86-1664
98,6,CP03-1160
99,0,L01-0283
100,0,L99-0233
101,8,CP99-1893
102,28,CP04-1566
103,5,CP86-1747
104,7,CP09-4153
105,3,CP70-0321
106,3,CP57-0614
107,3,CP72-0355
108,17,CP86-1633
109,7,CP03-1341
110,34,CP89-2066
111,3,CP48-0103
112,1,CP02-1104
113,15,CP02-1364
114,8,CP15-1341
115,3,CP78-0334
116,3,HoCP01-0500
117,2,CP03-1344
118,18,CP13-4125
119,17,CP95-2040
120,1,CP97-1302
121,6,CP13-2443
122,17,CP97-1910
123,3,Ho00-0017
124,18,CP14-4282
125,7,CP16-1631
126,0,CP93-1726
127,3,CP89-0839
128,4,CPCL06-3354
129,13,CP12-1030
130,27,CP97-2080
131,2,CP02-2183
132,0,CP17-2189
133,7,CP13-1102
134,1,CP00-1565
135,7,CP15-1272
136,40,CP97-2096
137,0,HoCP94-0838
138,0,HoCP96-0551
139,16,CP13-1562
140,27,CP98-1822
141,0,HoCP95-0900
142,1,CP98-1433
143,5,CP94-1723
144,7,CP15-2064
145,23,CP13-1869
146,2,CP03-2460
147,22,CP99-1144
148,7,CP19-1452
149,9,CP09-2260
150,10,CP17-4571
151,10,CP12-1088
152,13,CPCL14-4118
153,19,CP10-2041
154,7,CP13-1610
155,0,Ho11-9403
156,22,CP03-1757
157,0,L18-0473
158,14,CP02-1833
159,20,CP17-2448
160,3,CP83-0614
161,12,CP09-1298
162,10,CP16-4392
163,12,CP09-2219
164,8,CP19-2039
165,2,CP00-1376
166,0,Ho98-0010
167,18,CP16-1785
168,0,CP09-2170
169,4,CP13-2051
170,8,CP12-2109
171,6,CPCL02-1852
172,12,CP09-2044
173,17,CP91-1302
174,9,CP15-1903
175,7,CP14-1097
176,14,CP03-1573
177,0,CP03-1390
178,18,CP14-1243
179,30,CP07-1228
180,4,CP06-3056
181,7,CP15-2436
182,22,CP03-1515
183,16,CP14-1472
184,2,CP02-1906
185,7,CP17-1441
186,2,CP14-2276
187,2,CP02-1956
188,2,CP04-2145
189,18,CP16-1937
190,1,CP02-1536
191,27,CP97-1447
192,3,HoCP92-0644
193,7,CP14-1857
194,11,CP01-2433
195,5,CP95-1971
196,2,CP03-1528
197,8,CP15-1928
198,7,CP14-1358
199,7,CP16-1136
200,9,CPCL06-3330
201,8,CP17-2435
202,0,HoCP13-0735
203,10,CP16-2329
204,1,CP99-1635
205,5,CP99-1755
206,18,CP17-1816
207,18,CP17-4655
208,8,CP19-1807
209,12,CP09-1742
210,16,CP14-1975
