pagerank,vertex
1.9948522e-05,CP97-1183
1.9646424e-05,CP14-1305
1.9622308e-05,CP02-2443
1.9788376e-05,CP19-4053
1.9798426e-05,CP12-1041
1.9708124e-05,CP03-1662
1.9930156e-05,CP14-2504
1.9981922e-05,CP12-2407
1.9742201e-05,CP04-1623
2.0021731e-05,CP13-1558
2.0755579e-05,CP14-1898
1.9811047e-05,CP17-2446
1.9680003e-05,CP16-4537
2.0132205e-05,CP18-2362
1.9672965e-05,CP18-4103
2.1007625e-05,CP94-1936
1.9754927e-05,CP02-2112
1.9735937e-05,CP15-2144
2.2398866e-05,US1639
2.0305408e-05,CP92-1375
1.964112e-05,CP98-1052
1.9981342e-05,CPCL14-4056
7.27206e-05,US66-116-1
1.9628382e-05,CP14-1684
1.9622586e-05,CP14-2027
1.9778332e-05,CP95-1533
2.0596657e-05,CP07-2043
1.964229e-05,CP02-1930
1.9722405e-05,CP02-1104
1.9627405e-05,CP02-1364
1.9847677e-05,CP15-1341
1.982488e-05,CP78-0334
1.9951185e-05,CP90-1528
1.9949943e-05,CP04-1484
2.5539714e-05,CP91-2273
1.969004e-05,CP09-1389
2.0153588e-05,CP11-1196
2.0184512e-05,CP98-1146
2.0021977e-05,CP12-2241
2.0014857e-05,CP09-1551
2.0072826e-05,CP96-1444
1.9713294e-05,CP15-4042
3.0438683e-05,Ho14-9242
1.9887828e-05,CP18-4598
2.0019226e-05,CP96-1340
2.0208621e-05,CP15-2209
1.9745305e-05,CP03-1177
1.9890258e-05,CP14-1078
1.9781935e-05,CP04-1230
1.9734714e-05,L96-0036
1.9718615e-05,CP01-1669
1.96502e-05,CP02-1682
1.9978177e-05,CP14-1854
2.254207e-05,CP09-1771
2.0229441e-05,CP14-1377
1.9764277e-05,CP09-1304
1.9736566e-05,CP97-1320
2.153494e-05,CP01-2236
2.022229e-05,CP99-1387
1.9984102e-05,CP03-1950
2.0174979e-05,CP91-1306
1.9879384e-05,CP13-1727
1.965835e-05,CP03-1829
2.5908916e-05,HoCP20-0509
1.9669704e-05,CP01-2539
1.977445e-05,CP10-1386
2.5324436e-05,CP16-1026
1.9871915e-05,L13-0239
3.32771e-05,Ho18-9250
1.9965193e-05,CP04-1739
1.987514e-05,CPCL06-3167
2.1442462e-05,CP16-1468
1.9675703e-05,CP07-1950
2.1812648e-05,CP13-4716
1.9835472e-05,CP99-1906
1.9681895e-05,CP16-4092
1.9763787e-05,CP14-1452
2.0262976e-05,CP94-1926
1.9891453e-05,CP09-1107
1.9997178e-05,CP14-4434
1.9856838e-05,CP92-1143
2.0580232e-05,CP11-1005
1.9963469e-05,CP14-1862
1.9748531e-05,CP98-1994
2.0202486e-05,CP12-2322
2.0091515e-05,CP90-1427
1.9683304e-05,CP10-1820
1.9883237e-05,CP02-1648
1.9781935e-05,CP04-1240
4.1904394e-05,CP87-0661
1.9694704e-05,CP01-1274
2.0535163e-05,HoCP95-0926
2.1029502e-05,CP94-1492
1.9973862e-05,CP17-1131
1.9622572e-05,CP03-1462
1.962586e-05,CP16-2225
1.9995121e-05,CP13-1356
2.0012272e-05,CP12-1482
2.9939212e-05,US0785
2.001241e-05,CP97-1968
4.294495e-05,Ho90-0013
1.9913377e-05,CP99-2097
2.0040303e-05,CP95-1645
1.9719078e-05,CP94-1668
2.1984513e-05,Ho06-9608
1.963668e-05,CP18-2371
2.0207794e-05,CP19-1632
2.0504918e-05,CP94-1479
3.0699255e-05,CP01-2066
1.9898425e-05,CP17-1369
2.022786e-05,CP10-1018
2.012011e-05,CP00-1303
1.9835472e-05,CP96-1670
2.021573e-05,CP99-1738
