labels,vertex
7200,CP17-4651
7201,CP02-2112
7202,CP15-2144
7203,US1639
7204,CP92-1375
7205,CP98-1052
7206,CPCL14-4056
7207,US66-116-1
7208,CP14-1684
7209,CP14-2027
7210,CP95-1533
7211,CP07-2043
7212,CP02-1930
7213,CP02-1104
7214,CP81-1238
7215,CP02-1364
8624,CP92-1084
8625,CP17-4205
8626,CP95-1028
8627,CPCL01-7231
8628,CP10-1457
8629,CPCL06-3302
8630,CP12-1033
8631,CP90-1557
8632,CP09-1817
8633,CP14-2394
8634,CP16-1872
8635,CP07-1658
8636,CP18-1071
8637,CP01-2458
8638,CP06-2705
8639,CP09-2128
18752,CP94-1257
18753,Ho03-0020
18754,CP95-1376
18755,CP92-1511
18756,CP16-4630
18757,CP92-1169
18758,CP97-1685
18759,CP01-1949
18760,L06-0007
18761,CP14-4308
18762,CP07-1791
18763,CP10-1750
18764,CP10-2458
18765,CP04-1683
18766,CP13-1800
18767,CP19-1779
23520,CP14-1773
23521,CP12-1254
23522,CP19-1228
23523,CP14-4179
23524,CP01-2620
23525,CP17-1569
23526,CP93-1610
23527,CP01-1479
23528,CP19-4531
23529,CP02-1063
23530,CP10-2238
23531,CP93-1246
23532,CP07-2234
23533,CP00-1475
23534,CP07-2328
23535,CP19-1827
4256,CP11-1977
4257,HB88-3002
4258,CP99-1805
4259,CP06-2645
4260,CP99-1304
4261,CP92-1697
4262,CP11-1400
4263,CP01-1606
4264,CP97-1255
4265,CP14-1686
4266,HoCP98-0742
4267,CP17-2058
4268,CP19-1601
4269,CP19-4842
4270,HoCP20-0541
4271,CP14-1392
9856,CP95-1369
9857,CP94-2048
9858,CP10-2125
9859,CP12-2032
9860,CP80-0337
9861,CP19-1043
9862,CP02-1569
9863,CP00-1752
9864,CP13-1780
9865,CP17-4753
9866,CP17-4011
9867,CP91-1308
9868,CP12-2030
9869,CP93-1642
9870,CP96-1532
9871,CP89-0859
3632,CP14-1854
3633,CP09-1771
3634,CP14-1377
3635,CP09-1304
3636,CP97-1320
3637,CP01-2236
3638,CP99-1387
3639,CP03-1950
3640,CP91-1306
3641,CP13-1727
3642,CP03-1829
3643,HoCP20-0509
3644,CP96-1670
3645,CP99-1738
3646,CP11-1225
3647,CP98-1068
7824,CP16-1368
7825,CPCL05-1338
7826,CP99-2046
7827,CP14-1756
7828,CP95-1921
7829,CP90-1336
7830,CP94-1039
7831,CP96-1565
7832,CP17-2128
7833,CP10-2245
7834,CP01-1423
7835,Ho01-0013
7836,L05-0451
7837,HoL08-0720
7838,LCP88-0079
7839,CP16-1290
6032,CP14-1555
6033,CP99-1472
6034,CP94-1142
6035,CP09-1483
6036,HoCP95-0942
6037,CPCL01-6289
6038,CP17-2424
6039,CP95-1752
6040,LCP87-0018
6041,CP94-1193
6042,CP13-1468
6043,CP14-1633
6044,CP06-2111
6045,CP16-1601
6046,CP17-4087
6047,CP94-1063
8928,CP18-4013
8929,CP11-2032
8930,CP01-1886
8931,CPCL06-3280
8932,L11-0169
8933,CP02-1163
8934,CP12-1734
8935,CP04-2109
8936,CP06-2736
8937,L80-0022
8938,CP07-1537
8939,CP00-2211
8940,CP03-2088
8941,HoCP13-0729
8942,CP16-2365
8943,CP94-1106
2944,CP14-4408
2945,CP92-1616
2946,CP93-1470
2947,CP17-1693
2948,CP98-1605
2949,CP06-2047
2950,CP13-1432
2951,CPCL13-4001
2952,CP17-1207
2953,CP98-1982
2954,CP14-1920
2955,Ho87-0022
2956,Ho14-0807
2957,CP83-0613
2958,CP97-2500
