vertex,degree_centrality,betweenness_centrality,katz_centrality,pagerank,eigenvector_centrality
H49-0005,4,5.454863938325616e-08,0.004622053,0.00020447967,1.1168508e-12
CL89-5457,7,1.5884172171354294e-05,0.00462205,0.00016908428,8.070662e-08
H50-0723,4,4.928543972937405e-08,0.004622053,0.00016511316,3.5665262e-11
B59162,2,0.0,0.004622053,0.00015957096,8.2937124e-13
CL79-2243,3,1.5018938029243145e-05,0.004622053,0.0001562704,1.606655e-08
H02-1108,3,4.563466826645879e-10,0.0046220487,0.00014641816,0.7071063
H68-1158,2,0.0,0.00462205,0.00014256981,8.7358515e-12
E.Arund.-2,2,0.0,0.004619771,0.00014245891,0.7071063
F160,72,1.1285453638265608e-06,0.004622053,0.00013996317,7.0978404e-11
F141,3,3.4705163898252067e-07,0.00462205,0.00013978184,9.600354e-12
F46-0150,3,2.904646692059032e-07,0.00462205,0.00013486308,1.1386468e-12
Ho05-9022,2,0.0,0.004622053,0.00013277863,5.798773e-07
H78-4153,3,1.3325323067192585e-08,0.00462205,0.0001326071,6.95115e-11
Co6806,8,9.408346812733726e-08,0.004622053,0.00013029196,5.980925e-11
RB72454,2,0.0,0.00462205,0.00012802816,1.7479908e-11
H53-3989,3,1.32340538527842e-08,0.00462205,0.00012507924,1.0468692e-12
H59-3775,2,0.0,0.004622053,0.00012456898,1.0335335e-11
H41-3620,3,3.1031575531415e-08,0.00462205,0.0001238531,4.944529e-12
H57-5174,3,2.838476298450132e-08,0.00462205,0.00012315593,9.413625e-12
H41-3340,3,3.754212229978293e-08,0.004622053,0.00012062534,1.4254167e-14
B39254,5,2.0687716428824388e-08,0.004622053,0.00011928587,8.4641594e-16
Ho82-0007,2,0.0,0.004622053,0.00011735296,4.7910003e-08
PT41-0223,3,2.3205228671940858e-07,0.004622053,0.00011601307,1.1640637e-13
CP34-0079,4,8.354620149475522e-06,0.004622053,0.00011584621,6.9081595e-13
H48-3717,3,2.4642719864687024e-08,0.00462205,0.00011430018,1.0817359e-13
H32-6705,3,2.6011761633526476e-08,0.004622053,0.00011361712,4.1280368e-16
CL69-0886,3,5.55953556613531e-06,0.00462205,0.0001130808,2.8420275e-09
H78-0292,2,0.0,0.00462205,0.00011130979,1.3084481e-09
B46364,3,4.107119977447837e-09,0.0046220515,0.00011019539,7.139467e-14
Ho74-0055,2,0.0,0.004622053,0.000109292145,7.643525e-09
H62-4671,2,0.0,0.00462205,0.00010910915,8.593252e-13
