vertex,centrality,partition
LCP85-0384,0.016641032213962233,0
CP89-2377,0.019631718362812956,1
CP92-1167,0.04327950098265402,2
CP65-0357,0.00927112706143724,3
CP96-1252,0.01309493292318209,4
CP85-1491,0.012411347517730497,5
CP01-2390,0.027172519866700846,6
CP06-2897,0.01811501324446723,7
CP08-1553,0.02183200888661027,8
CP88-1762,0.014227121250961292,9
CPCL99-2651,0.005960010253781082,10
CP95-1039,0.008245748953259848,11
CP01-2459,0.00899342049047253,12
CL88-4730,0.011215073058190209,13
CP72-2086,0.009847902247287021,14
CP84-1591,0.01503887891993506,15
CP03-1912,0.0079894044262155,16
CP70-1133,0.016085619072032813,17
CP07-2547,0.019460822011450055,18
CL89-5189,0.01811501324446723,19
Mix 07 Q,0.004763735794240793,20
CP94-2095,0.006451337263949415,21
CP89-2376,0.005960010253781082,22
CPCL01-0271,0.0022857386994787664,23
CL87-1630,0.0023498248312398533,24
CL84-3152,0.005233700760488764,25
unknown,0.004891908057762967,26
CL61-0620,0.006835854054515937,27
CP04-1566,0.0025420832265231137,28
BR97-1004,0.0016662394257882596,29
CP93-1309,0.0006835854054515936,30
GreenGerman [SGR-941],0.00042724087840724604,31
TCP90-4094,0.00046996496624797065,32
US90-0026,0.0020934803041955056,33
CP89-2066,0.0024566350508416646,34
CP87-1018,0.0011962744595402888,35
POJ0213,0.00021362043920362302,36
H32-8560,0.0001495343074425361,37
CP85-1758,0.0009612919764163036,38
Ho07-9017,0.0003417927027257968,39
HoCP93-0724,0.0001495343074425361,40
US02-1432,0.00010681021960181151,41
IND84-68B,0.0001281722635221738,42
H56-0848,6.40861317610869e-05,43
POLY17-4,8.54481756814492e-05,44
US02-1270,0.00042724087840724604,45
US99-1009,0.0001281722635221738,46
US95-1064,0.0001708963513628984,47
US95-1115,0.0002563445270443476,48
CP99-2075,4.27240878407246e-05,49
CP01-2661,4.27240878407246e-05,50
88P08,0.0001281722635221738,51
US98-1074,6.40861317610869e-05,52
92P19,0.0001281722635221738,53
92P13,8.54481756814492e-05,54
US99-1048,6.40861317610869e-05,55
US95-1034,6.40861317610869e-05,56
TCP93-3597,6.40861317610869e-05,57
POLY10-22,8.54481756814492e-05,58
CP92-0618,6.40861317610869e-05,59
RSB90-0012,0.00021362043920362302,60
L97-0108,4.27240878407246e-05,61
B74725,4.27240878407246e-05,62
B76719,4.27240878407246e-05,63
Phampton,0.0001495343074425361,64
CP91-1150-05,8.54481756814492e-05,65
HoCP97-0692,4.27240878407246e-05,66
TCP88-3461,0.0001708963513628984,67
CPCL02-6108,4.27240878407246e-05,68
HoCP85-0830,4.27240878407246e-05,69
L72-0092,4.27240878407246e-05,70
US95-1003,2.13620439203623e-05,71
CP17-4896,4.27240878407246e-05,72
CP09-2375,4.27240878407246e-05,73
CP11-1333,4.27240878407246e-05,74
HoCP01-0515,4.27240878407246e-05,75
L17-0423,4.27240878407246e-05,76
CP95-1906,4.27240878407246e-05,77
CP92-0624,4.27240878407246e-05,78
